sex,age,famsize
M,22,GT3
M,21,GT3
M,20,GT3
F,20,GT3
M,20,LE3
F,19,GT3
M,19,GT3
F,19,GT3
M,19,LE3
F,19,GT3
F,19,GT3
M,19,GT3
M,19,GT3
M,19,GT3
F,19,LE3
F,19,LE3
F,19,GT3
M,19,GT3
F,19,LE3
F,19,GT3
F,19,GT3
F,19,GT3
F,19,GT3
M,19,GT3
M,19,GT3
F,19,LE3
M,19,GT3
F,19,GT3
M,19,LE3
M,18,GT3
M,18,LE3
F,18,GT3
M,18,GT3
M,18,LE3
M,18,GT3
F,18,GT3
M,18,LE3
M,18,GT3
F,18,GT3
M,18,LE3
M,18,GT3
M,18,GT3
M,18,GT3
F,18,GT3
M,18,GT3
M,18,GT3
F,18,GT3
M,18,LE3
F,18,GT3
M,18,GT3
F,18,GT3
F,18,GT3
F,18,LE3
F,18,GT3
M,18,GT3
F,18,GT3
M,18,LE3
F,18,LE3
F,18,GT3
F,18,GT3
M,18,GT3
M,18,LE3
M,18,GT3
F,18,LE3
M,18,LE3
F,18,LE3
F,18,GT3
M,18,LE3
F,18,LE3
F,18,GT3
F,18,GT3
F,18,GT3
F,18,GT3
M,18,GT3
M,18,LE3
F,18,GT3
F,18,LE3
F,18,GT3
F,18,LE3
M,18,GT3
M,18,LE3
F,18,GT3
F,18,GT3
M,18,GT3
M,18,GT3
M,18,GT3
M,18,LE3
F,18,GT3
M,18,LE3
F,18,LE3
F,18,LE3
M,18,LE3
F,18,GT3
M,18,GT3
M,18,LE3
F,18,GT3
F,18,GT3
M,18,LE3
F,18,LE3
F,18,GT3
F,18,LE3
F,18,GT3
M,18,GT3
M,18,GT3
M,18,GT3
F,18,GT3
F,18,GT3
F,18,LE3
F,18,GT3
M,18,LE3
M,17,GT3
M,17,GT3
M,17,GT3
M,17,GT3
F,17,LE3
M,17,GT3
M,17,GT3
F,17,GT3
M,17,LE3
M,17,LE3
M,17,GT3
M,17,LE3
M,17,LE3
M,17,LE3
M,17,GT3
M,17,GT3
F,17,GT3
F,17,LE3
M,17,GT3
F,17,GT3
M,17,GT3
F,17,GT3
M,17,GT3
F,17,LE3
M,17,GT3
F,17,GT3
F,17,GT3
F,17,GT3
F,17,GT3
F,17,GT3
M,17,LE3
F,17,LE3
F,17,LE3
F,17,GT3
F,17,GT3
F,17,GT3
F,17,GT3
F,17,GT3
F,17,GT3
M,17,LE3
F,17,GT3
F,17,LE3
M,17,GT3
M,17,GT3
M,17,LE3
F,17,GT3
M,17,LE3
M,17,LE3
M,17,GT3
M,17,GT3
M,17,LE3
F,17,LE3
F,17,LE3
F,17,GT3
M,17,GT3
M,17,GT3
F,17,GT3
F,17,LE3
M,17,LE3
M,17,LE3
F,17,GT3
M,17,GT3
F,17,GT3
F,17,GT3
F,17,LE3
M,17,GT3
M,17,LE3
F,17,GT3
F,17,GT3
F,17,GT3
F,17,GT3
F,17,GT3
F,17,LE3
F,17,GT3
F,17,LE3
M,17,GT3
M,17,GT3
F,17,GT3
F,17,GT3
F,17,GT3
F,17,GT3
F,17,GT3
F,17,GT3
F,17,GT3
F,17,GT3
M,17,GT3
M,17,GT3
F,17,GT3
F,17,LE3
F,17,LE3
F,17,GT3
F,17,GT3
F,17,GT3
F,17,GT3
F,17,GT3
M,17,GT3
M,17,LE3
F,16,GT3
F,16,GT3
F,16,GT3
F,16,GT3
F,16,GT3
F,16,GT3
F,16,GT3
F,16,GT3
F,16,GT3
F,16,GT3
M,16,GT3
F,16,LE3
F,16,LE3
F,16,LE3
F,16,LE3
M,16,GT3
F,16,LE3
F,16,GT3
F,16,GT3
F,16,GT3
F,16,GT3
F,16,LE3
F,16,GT3
F,16,LE3
F,16,GT3
M,16,GT3
M,16,GT3
F,16,GT3
F,16,GT3
F,16,GT3
F,16,LE3
M,16,GT3
M,16,LE3
F,16,GT3
F,16,LE3
F,16,GT3
M,16,GT3
F,16,GT3
F,16,GT3
F,16,GT3
M,16,GT3
M,16,GT3
M,16,GT3
F,16,LE3
F,16,GT3
F,16,GT3
M,16,GT3
M,16,GT3
F,16,LE3
M,16,GT3
F,16,GT3
M,16,GT3
F,16,GT3
F,16,GT3
M,16,LE3
M,16,LE3
F,16,LE3
M,16,GT3
M,16,LE3
M,16,GT3
M,16,GT3
M,16,LE3
M,16,GT3
M,16,GT3
F,16,GT3
F,16,GT3
F,16,GT3
M,16,GT3
M,16,GT3
F,16,GT3
F,16,LE3
F,16,GT3
M,16,GT3
M,16,GT3
M,16,GT3
F,16,GT3
M,16,GT3
M,16,LE3
F,16,GT3
M,16,GT3
M,16,GT3
M,16,LE3
F,16,LE3
F,16,GT3
F,16,GT3
F,16,GT3
F,16,GT3
F,16,GT3
F,16,GT3
F,16,GT3
F,16,GT3
F,16,GT3
M,16,GT3
M,16,LE3
M,16,GT3
F,16,GT3
M,16,LE3
M,16,GT3
M,16,GT3
M,16,GT3
M,16,GT3
M,16,GT3
M,15,GT3
F,15,GT3
F,15,GT3
M,15,LE3
M,15,GT3
M,15,GT3
M,15,GT3
F,15,GT3
F,15,GT3
M,15,LE3
M,15,GT3
M,15,GT3
M,15,LE3
M,15,GT3
M,15,GT3
M,15,LE3
M,15,GT3
M,15,GT3
M,15,LE3
F,15,GT3
F,15,GT3
F,15,GT3
M,15,LE3
M,15,GT3
M,15,GT3
F,15,GT3
M,15,LE3
M,15,GT3
M,15,GT3
F,15,LE3
M,15,GT3
F,15,GT3
F,15,LE3
M,15,LE3
F,15,GT3
F,15,LE3
F,15,GT3
M,15,GT3
M,15,LE3
F,15,LE3
M,15,GT3
F,15,LE3
F,15,LE3
M,15,GT3
F,15,GT3
M,15,GT3
M,15,GT3
M,15,GT3
M,15,GT3
F,15,LE3
M,15,LE3
F,15,GT3
F,15,GT3
F,15,GT3
F,15,GT3
M,15,LE3
F,15,GT3
M,15,GT3
F,15,GT3
M,15,GT3
F,15,GT3
F,15,GT3
M,15,GT3
M,15,LE3
M,15,LE3
M,15,GT3
M,15,GT3
M,15,GT3
F,15,GT3
M,15,GT3
M,15,GT3
F,15,LE3
F,15,GT3
F,15,GT3
M,15,GT3
F,15,GT3
F,15,GT3
