age,famsize
22,GT3
21,GT3
20,GT3
20,GT3
20,LE3
19,GT3
19,GT3
19,GT3
19,LE3
19,GT3
19,GT3
19,GT3
19,GT3
19,GT3
19,LE3
19,LE3
19,GT3
19,GT3
19,LE3
19,GT3
19,GT3
19,GT3
19,GT3
19,GT3
19,GT3
19,LE3
19,GT3
19,GT3
19,LE3
18,GT3
18,LE3
18,GT3
18,GT3
18,LE3
18,GT3
18,GT3
18,LE3
18,GT3
18,GT3
18,LE3
18,GT3
18,GT3
18,GT3
18,GT3
18,GT3
18,GT3
18,GT3
18,LE3
18,GT3
18,GT3
18,GT3
18,GT3
18,LE3
18,GT3
18,GT3
18,GT3
18,LE3
18,LE3
18,GT3
18,GT3
18,GT3
18,LE3
18,GT3
18,LE3
18,LE3
18,LE3
18,GT3
18,LE3
18,LE3
18,GT3
18,GT3
18,GT3
18,GT3
18,GT3
18,LE3
18,GT3
18,LE3
18,GT3
18,LE3
18,GT3
18,LE3
18,GT3
18,GT3
18,GT3
18,GT3
18,GT3
18,LE3
18,GT3
18,LE3
18,LE3
18,LE3
18,LE3
18,GT3
18,GT3
18,LE3
18,GT3
18,GT3
18,LE3
18,LE3
18,GT3
18,LE3
18,GT3
18,GT3
18,GT3
18,GT3
18,GT3
18,GT3
18,LE3
18,GT3
18,LE3
17,GT3
17,GT3
17,GT3
17,GT3
17,LE3
17,GT3
17,GT3
17,GT3
17,LE3
17,LE3
17,GT3
17,LE3
17,LE3
17,LE3
17,GT3
17,GT3
17,GT3
17,LE3
17,GT3
17,GT3
17,GT3
17,GT3
17,GT3
17,LE3
17,GT3
17,GT3
17,GT3
17,GT3
17,GT3
17,GT3
17,LE3
17,LE3
17,LE3
17,GT3
17,GT3
17,GT3
17,GT3
17,GT3
17,GT3
17,LE3
17,GT3
17,LE3
17,GT3
17,GT3
17,LE3
17,GT3
17,LE3
17,LE3
17,GT3
17,GT3
17,LE3
17,LE3
17,LE3
17,GT3
17,GT3
17,GT3
17,GT3
17,LE3
17,LE3
17,LE3
17,GT3
17,GT3
17,GT3
17,GT3
17,LE3
17,GT3
17,LE3
17,GT3
17,GT3
17,GT3
17,GT3
17,GT3
17,LE3
17,GT3
17,LE3
17,GT3
17,GT3
17,GT3
17,GT3
17,GT3
17,GT3
17,GT3
17,GT3
17,GT3
17,GT3
17,GT3
17,GT3
17,GT3
17,LE3
17,LE3
17,GT3
17,GT3
17,GT3
17,GT3
17,GT3
17,GT3
17,LE3
16,GT3
16,GT3
16,GT3
16,GT3
16,GT3
16,GT3
16,GT3
16,GT3
16,GT3
16,GT3
16,GT3
16,LE3
16,LE3
16,LE3
16,LE3
16,GT3
16,LE3
16,GT3
16,GT3
16,GT3
16,GT3
16,LE3
16,GT3
16,LE3
16,GT3
16,GT3
16,GT3
16,GT3
16,GT3
16,GT3
16,LE3
16,GT3
16,LE3
16,GT3
16,LE3
16,GT3
16,GT3
16,GT3
16,GT3
16,GT3
16,GT3
16,GT3
16,GT3
16,LE3
16,GT3
16,GT3
16,GT3
16,GT3
16,LE3
16,GT3
16,GT3
16,GT3
16,GT3
16,GT3
16,LE3
16,LE3
16,LE3
16,GT3
16,LE3
16,GT3
16,GT3
16,LE3
16,GT3
16,GT3
16,GT3
16,GT3
16,GT3
16,GT3
16,GT3
16,GT3
16,LE3
16,GT3
16,GT3
16,GT3
16,GT3
16,GT3
16,GT3
16,LE3
16,GT3
16,GT3
16,GT3
16,LE3
16,LE3
16,GT3
16,GT3
16,GT3
16,GT3
16,GT3
16,GT3
16,GT3
16,GT3
16,GT3
16,GT3
16,LE3
16,GT3
16,GT3
16,LE3
16,GT3
16,GT3
16,GT3
16,GT3
16,GT3
15,GT3
15,GT3
15,GT3
15,LE3
15,GT3
15,GT3
15,GT3
15,GT3
15,GT3
15,LE3
15,GT3
15,GT3
15,LE3
15,GT3
15,GT3
15,LE3
15,GT3
15,GT3
15,LE3
15,GT3
15,GT3
15,GT3
15,LE3
15,GT3
15,GT3
15,GT3
15,LE3
15,GT3
15,GT3
15,LE3
15,GT3
15,GT3
15,LE3
15,LE3
15,GT3
15,LE3
15,GT3
15,GT3
15,LE3
15,LE3
15,GT3
15,LE3
15,LE3
15,GT3
15,GT3
15,GT3
15,GT3
15,GT3
15,GT3
15,LE3
15,LE3
15,GT3
15,GT3
15,GT3
15,GT3
15,LE3
15,GT3
15,GT3
15,GT3
15,GT3
15,GT3
15,GT3
15,GT3
15,LE3
15,LE3
15,GT3
15,GT3
15,GT3
15,GT3
15,GT3
15,GT3
15,LE3
15,GT3
15,GT3
15,GT3
15,GT3
15,GT3
15,GT3
15,GT3
15,GT3
15,GT3
15,GT3
15,LE3
15,GT3
15,GT3
15,GT3
